objectid,no_prop,no_kab,no_kec,no_kel,KABUPATEN,KECAMATAN,KELURAHAN,kepadatan_penduduk,wighted education score,weighted_employment_score,Kab_Gini_2018,Kab_Gini_2019,Kab_Gini_2020,Kab_Gini_2021,Kab_Gini_2022,Kab_Gini_2023,desa_gini_2018,desa_gini_2019,desa_gini_2020,desa_gini_2021,desa_gini_2022,desa_gini_2023
478351,35,21,8,2012,KAB. NGAWI,PADAS,PADAS,1.45435892,696.3,823.8,0.353,0.336,0.337,0.309,0.300,0.328,0.185029384,0.176118621,0.176642783,0.161966232,0.157248769,0.17192532
478352,35,21,8,2013,KAB. NGAWI,PADAS,KEDUNGPRAHU,2.37282598,1156.4,1365.6,0.353,0.336,0.337,0.309,0.300,0.328,0.305369929,0.290663728,0.291528799,0.267306821,0.259521186,0.283743163
478354,35,21,9,2004,KAB. NGAWI,NGAWI,KARANGASRI,5.7242994,3014.2,2923.7,0.353,0.336,0.337,0.309,0.300,0.328,0.725601683,0.690657692,0.692713221,0.635158413,0.616658654,0.674213461
478355,35,21,9,2007,KAB. NGAWI,NGAWI,JURUREJO,4.5550808,2612.6,2079.4,0.353,0.336,0.337,0.309,0.300,0.328,0.575492682,0.547777737,0.549408028,0.503759883,0.489087265,0.53473541
478356,35,21,10,2001,KAB. NGAWI,PARON,GENTONG,4.17178916,2008.6,2243.9,0.353,0.336,0.337,0.309,0.300,0.328,0.522007408,0.496868241,0.498347015,0.456941329,0.443632358,0.485038045
478358,35,21,12,2005,KAB. NGAWI,WIDODAREN,KAYUTREJO,2.34846726,1081.3,1117.7,0.353,0.336,0.337,0.309,0.300,0.328,0.277800647,0.264422145,0.265209116,0.243173937,0.236091201,0.25812638
478359,35,21,12,2011,KAB. NGAWI,WIDODAREN,SIDOMAKMUR,3.37654857,1440.4,1573,0.353,0.336,0.337,0.309,0.300,0.328,0.386914773,0.368281484,0.36937756,0.338687436,0.328822753,0.359512877
478360,35,21,15,2008,KAB. NGAWI,BRINGIN,DAMPIT,0.94855725,366.6,333,0.353,0.336,0.337,0.309,0.300,0.328,0.09658465,0.091933265,0.092206875,0.08454577,0.082083272,0.089744377
478362,35,21,16,2009,KAB. NGAWI,PITU,BANJARBANGGI,2.20518067,869,868.4,0.353,0.336,0.337,0.309,0.300,0.328,0.233639733,0.222387961,0.22304983,0.2045175,0.19856068,0.21709301
482516,35,21,6,2007,KAB. NGAWI,KWADUNGAN,SUMENGKO,0.93566145,485.6,487.8,0.353,0.336,0.337,0.309,0.300,0.328,0.118806619,0.113085053,0.113421616,0.103997862,0.100968798,0.110392552
482518,35,21,3,2002,KAB. NGAWI,JOGOROGO,KLETEKAN,2.38500534,1027.1,1104.2,0.353,0.336,0.337,0.309,0.300,0.328,0.273559051,0.260384819,0.261159774,0.239461039,0.232486446,0.254185181
482519,35,21,4,2003,KAB. NGAWI,KENDAL,SIMO,2.29330192,968.6,1082.7,0.353,0.336,0.337,0.309,0.300,0.328,0.26312916,0.250457218,0.251202626,0.230331191,0.223622516,0.244493951
482521,35,21,9,2002,KAB. NGAWI,NGAWI,KANDANGAN,4.68045657,2056.5,1994,0.353,0.336,0.337,0.309,0.300,0.328,0.526239551,0.500896569,0.502387333,0.460645952,0.44722908,0.488970461
482523,35,21,11,2002,KAB. NGAWI,KEDUNGGALAR,WONOREJO,1.95657843,887.6,851.9,0.353,0.336,0.337,0.309,0.300,0.328,0.223856239,0.213075627,0.21370978,0.195953478,0.190246095,0.208002398
482525,35,21,13,2003,KAB. NGAWI,MANTINGAN,KEDUNGHARJO,4.1008623,1947.6,2303,0.353,0.336,0.337,0.309,0.300,0.328,0.518767502,0.493784364,0.495253961,0.454105264,0.440878897,0.482027594
482526,35,21,15,2004,KAB. NGAWI,BRINGIN,BRINGIN,2.18440411,934.8,855.1,0.353,0.336,0.337,0.309,0.300,0.328,0.23732159,0.225892505,0.226564804,0.207740428,0.201689736,0.220514112
482527,35,21,17,2002,KAB. NGAWI,KARANGANYAR,MENGGER,2.27825683,950.8,1205.4,0.353,0.336,0.337,0.309,0.300,0.328,0.271001276,0.257950223,0.258717932,0.23722208,0.230312699,0.251808551
486547,35,21,6,2010,KAB. NGAWI,KWADUNGAN,KWADUNGAN,0.7715983,387,403.2,0.353,0.336,0.337,0.309,0.300,0.328,0.09690503,0.092238216,0.092512734,0.084826216,0.08235555,0.090042068
486548,35,21,11,2008,KAB. NGAWI,KEDUNGGALAR,BANGUNREJO KIDUL,5.40978533,2447.9,2471.3,0.353,0.336,0.337,0.309,0.300,0.328,0.62785072,0.597614283,0.599392897,0.549591707,0.533584181,0.583385372
486562,35,21,1,2005,KAB. NGAWI,SINE,HARGOSARI,1.15417351,537.2,467.2,0.353,0.336,0.337,0.309,0.300,0.328,0.130332517,0.12405588,0.124425094,0.114087104,0.110764178,0.121102168
486563,35,21,3,2001,KAB. NGAWI,JOGOROGO,UMBULREJO,0.58174357,260,262.3,0.353,0.336,0.337,0.309,0.300,0.328,0.066959449,0.063734773,0.06392446,0.058613229,0.056906047,0.062217278
486564,35,21,12,2003,KAB. NGAWI,WIDODAREN,SEKARALAS,3.83291637,1787,1848.3,0.353,0.336,0.337,0.309,0.300,0.328,0.45725214,0.435231499,0.436526831,0.400257539,0.388599553,0.424868844
486565,35,21,19,2007,KAB. NGAWI,KASREMAN,TAWUN,3.34072692,1434.5,1747.3,0.353,0.336,0.337,0.309,0.300,0.328,0.39916551,0.379942241,0.381073022,0.349411169,0.339234144,0.370895998
486566,35,21,12,2009,KAB. NGAWI,WIDODAREN,GENDINGAN,4.86243054,2341.6,3064.2,0.353,0.336,0.337,0.309,0.300,0.328,0.645024652,0.613961142,0.615788407,0.564624979,0.548179591,0.59934302
486567,35,21,13,2007,KAB. NGAWI,MANTINGAN,JATIMULYO,1.86845718,836.9,971.5,0.353,0.336,0.337,0.309,0.300,0.328,0.225728081,0.214857323,0.21549678,0.197592003,0.191836896,0.209741673
486569,35,21,16,2002,KAB. NGAWI,PITU,PITU,3.9095747,1655.9,1698,0.353,0.336,0.337,0.309,0.300,0.328,0.436937215,0.415894913,0.417132695,0.382474786,0.371334743,0.405992653
486570,35,21,16,2004,KAB. NGAWI,PITU,SELOPURO,3.15517078,1363.5,1477.6,0.353,0.336,0.337,0.309,0.300,0.328,0.363670393,0.346156521,0.347186749,0.318340372,0.309068323,0.3379147
486571,35,21,18,2005,KAB. NGAWI,GERIH,GUYUNG,4.88463996,2330.3,2372.6,0.353,0.336,0.337,0.309,0.300,0.328,0.588624447,0.560277094,0.561944585,0.515254827,0.500247405,0.546937163
490169,35,21,1,2001,KAB. NGAWI,SINE,WONOSARI,1.58116756,669.7,702.1,0.353,0.336,0.337,0.309,0.300,0.328,0.177964211,0.169393697,0.169897845,0.155781703,0.151244372,0.165360513
490170,35,21,6,2003,KAB. NGAWI,KWADUNGAN,POJOK,1.66427378,801.2,819.2,0.353,0.336,0.337,0.309,0.300,0.328,0.202050415,0.192319942,0.192892322,0.176865661,0.171714234,0.187740895
490172,35,21,3,2005,KAB. NGAWI,JOGOROGO,NGRAYUDAN,3.50120791,1487.9,1927.8,0.353,0.336,0.337,0.309,0.300,0.328,0.424885309,0.40442341,0.405627051,0.3719251,0.361092331,0.394794281
490173,35,21,4,2002,KAB. NGAWI,KENDAL,KARANGREJO,3.43457964,1431.8,2098.5,0.353,0.336,0.337,0.309,0.300,0.328,0.431326198,0.410554115,0.411776002,0.377563159,0.366566174,0.400779017
490174,35,21,5,2011,KAB. NGAWI,GENENG,SIDOREJO,2.75325189,1370,1258.9,0.353,0.336,0.337,0.309,0.300,0.328,0.330205105,0.314302877,0.315238302,0.289046395,0.280627568,0.306819475
490176,35,21,6,2011,KAB. NGAWI,KWADUNGAN,BUDUG,0.98366246,508.9,468.3,0.353,0.336,0.337,0.309,0.300,0.328,0.1211376,0.115303778,0.115646944,0.106038296,0.102949802,0.11255845
490177,35,21,7,2003,KAB. NGAWI,KARANGJATI,GEMPOL,1.73305135,760.9,555,0.353,0.336,0.337,0.309,0.300,0.328,0.179871784,0.171209403,0.171718955,0.157451505,0.152865539,0.167132989
490179,35,21,7,2011,KAB. NGAWI,KARANGJATI,PUHTI,2.0232067,946.9,887.1,0.353,0.336,0.337,0.309,0.300,0.328,0.234459172,0.223167937,0.223832127,0.205234799,0.199257086,0.217854415
490180,35,21,10,2007,KAB. NGAWI,PARON,PARON,2.80483506,1410.5,1615.9,0.353,0.336,0.337,0.309,0.300,0.328,0.364812459,0.347243587,0.34827705,0.319340085,0.310038917,0.338975883
490182,35,21,13,2002,KAB. NGAWI,MANTINGAN,MANTINGAN,5.36465005,2511.8,2978.9,0.353,0.336,0.337,0.309,0.300,0.328,0.672817977,0.640415978,0.642321978,0.58895398,0.57179998,0.625167979
490184,35,21,13,2005,KAB. NGAWI,MANTINGAN,TAMBAKBOYO,5.48787652,2582.3,3066.6,0.353,0.336,0.337,0.309,0.300,0.328,0.690932877,0.657658489,0.659615806,0.604810932,0.58719508,0.641999954
490185,35,21,17,2005,KAB. NGAWI,KARANGANYAR,BANGUNREJO,1.66570665,660,1016.9,0.353,0.336,0.337,0.309,0.300,0.328,0.206188417,0.196258663,0.196842767,0.180487878,0.17523095,0.191585838
490186,35,21,17,2006,KAB. NGAWI,KARANGANYAR,PANDEAN,5.83248078,2241.5,2918.8,0.353,0.336,0.337,0.309,0.300,0.328,0.663768826,0.631802622,0.633682986,0.581032768,0.564109484,0.616759702
490188,35,21,17,2007,KAB. NGAWI,KARANGANYAR,SEKARJATI,2.02034096,833.6,1255,0.353,0.336,0.337,0.309,0.300,0.328,0.254662987,0.242398764,0.243120189,0.222920292,0.216427468,0.236627365
491135,35,21,1,2003,KAB. NGAWI,SINE,GIRIKERTO,1.5539431,642.1,511.7,0.353,0.336,0.337,0.309,0.300,0.328,0.159007609,0.151350019,0.151800465,0.139187964,0.135133946,0.147746447
491137,35,21,2,2013,KAB. NGAWI,NGRAMBE,CEPOKO,4.18826712,1885.9,1975.4,0.353,0.336,0.337,0.309,0.300,0.328,0.490353512,0.466738754,0.468127857,0.429232961,0.41673103,0.455625926
491140,35,21,5,2012,KAB. NGAWI,GENENG,BADERAN,2.53259054,1273.1,1116.5,0.353,0.336,0.337,0.309,0.300,0.328,0.30145828,0.286940459,0.287794449,0.263882744,0.256196839,0.280108544
491142,35,21,7,2016,KAB. NGAWI,KARANGJATI,REJUNO,2.78477494,1224,1051.1,0.353,0.336,0.337,0.309,0.300,0.328,0.302118057,0.287568463,0.288424321,0.264460282,0.256757556,0.280721594
491144,35,21,10,2005,KAB. NGAWI,PARON,TEMPURAN,8.30202521,3999.2,4142.6,0.353,0.336,0.337,0.309,0.300,0.328,1.012688891,0.963919171,0.966787978,0.886461381,0.860642117,0.940968715
491146,35,21,10,2006,KAB. NGAWI,PARON,DAWU,2.6579663,1313.5,1371.5,0.353,0.336,0.337,0.309,0.300,0.328,0.330724044,0.314796824,0.315733719,0.28950065,0.281068593,0.307301661
491148,35,21,12,2002,KAB. NGAWI,WIDODAREN,KEDUNGGUDEL,3.57643337,1783.7,2007.4,0.353,0.336,0.337,0.309,0.300,0.328,0.459589409,0.437456208,0.438758161,0.402303477,0.3905859,0.427040584
